,Image Name,Cat. 1,Cat. 2,Cat. 3,Cat. 4,Cat. 5,True Skill Rating,Load,Exemplar of,To be asked,Trial Type,Audio,RT to TO,RT VS,RT to TO,Sound Onset,Sound Hz,Trial N.,trial_n
176,2008_007108.jpg, pottedplant, dog,,,,29.85183435,high, dog,,No Target,Normal,None,Na,Na,None,None,6,126
126,2008_004614.jpg, car, bus, person,,,31.30513577,high, car,,No Target,Normal,None,Na,Na,None,None,7,127
63,2008_001673.jpg, person, chair, bird,,,29.63012123,high, bird,,No Target,Normal,None,Na,Na,None,None,8,128
376,2010_003724.jpg, person, bird,,,,29.65738997,high, bird,,No Target,Normal,None,Na,Na,None,None,9,129
286,2009_003725.jpg, person, horse, car,,,30.12263629,high, car,,No Target,Critical,"[('space', 0.5195056489610579)]",Na,Na,0.681,tone2,10,130
266,2009_002571.jpg, pottedplant, sofa, chair, diningtable,,28.96846506,high, sofa,,No Target,Normal,None,Na,Na,None,None,11,131
409,2010_005705.jpg, boat,,,,,30.07547412,high, boat,,No Target,Normal,None,Na,Na,None,None,12,132
78,2008_002185.jpg, person,,,,,34.64372837,high, person,,No Target,Normal,None,Na,Na,None,None,13,133
404,2010_005572.jpg, person, motorbike,,,,31.07685831,high, person,,No Target,Normal,None,Na,Na,None,None,14,134
475,2011_002879.jpg, sofa, tvmonitor,,,,29.90273721,high, sofa,,No Target,Critical,"[('space', 0.3258056625345489)]",Na,Na,0.897,tone1,15,135
281,2009_003323.jpg, person, horse,,,,28.63959648,high, horse, horse,Target Present,Critical,None,"[('p', 1.8297631279783673)]",-999,0.155,tone1,16,136
197,2008_008080.jpg, pottedplant, bus, bicycle,,,33.24041884,high, pottedplant,,No Target,Normal,None,Na,Na,None,None,17,137
338,2010_001533.jpg, tvmonitor, chair, person,,,33.46727324,high, person,,No Target,Normal,None,Na,Na,None,None,18,138
440,2011_001283.jpg, sofa, person,,,,32.35902155,high, sofa,,No Target,Normal,None,Na,Na,None,None,19,139
394,2010_004950.jpg, boat,,,,,29.96161285,high, boat,,No Target,Normal,None,Na,Na,None,None,20,140
41,2008_000803.jpg, person, bicycle, motorbike,,,31.27613146,high, person,,No Target,Normal,None,Na,Na,None,None,21,141
294,2009_004154.jpg, person, chair, diningtable, bottle,,29.62291428,high, person, person,Target Present,Normal,None,"[('p', 1.7140848820854444)]",-999,None,None,22,142
252,2009_001888.jpg, pottedplant, sofa,,,,28.81434209,high, pottedplant, bottle,Target Absent,Normal,None,"[('q', 2.260369637137046)]",-999,None,None,23,143
44,2008_000916.jpg, pottedplant, person, train,,,29.32349307,high, pottedplant,,No Target,Normal,None,Na,Na,None,None,24,144
195,2008_007970.jpg, person, aeroplane,,,,30.07304163,high, aeroplane,,No Target,Normal,None,Na,Na,None,None,25,145
411,2010_005894.jpg, chair,,,,,29.02795836,high, chair,,No Target,Normal,None,Na,Na,None,None,26,146
377,2010_003729.jpg, pottedplant, car, chair, bicycle, person,30.13324411,high, pottedplant,,No Target,Normal,None,Na,Na,None,None,27,147
55,2008_001329.jpg, car, person,,,,34.57644103,high, car,,No Target,Normal,None,Na,Na,None,None,28,148
432,2011_001031.jpg, sofa, chair,,,,29.49317582,high, sofa,,No Target,Critical,None,Na,Na,0.465,tone4,29,149
30,2008_000495.jpg, tvmonitor, chair, bottle,,,32.17976917,high, bottle,,No Target,Normal,None,Na,Na,None,None,30,150
182,2008_007423.jpg, bird,,,,,33.64739801,high, bird,,No Target,Normal,None,Na,Na,None,None,31,151
81,2008_002350.jpg, bird,,,,,29.81492031,high, bird,,No Target,Critical,None,Na,Na,0.447,tone1,32,152
122,2008_004445.jpg, pottedplant, chair,,,,30.34541588,high, pottedplant,,No Target,Normal,None,Na,Na,None,None,33,153
204,2008_008490.jpg, bird,,,,,29.18141014,high, bird,,No Target,Normal,None,Na,Na,None,None,34,154
374,2010_003579.jpg, chair, cat,,,,29.79862915,high, cat,,No Target,Normal,None,Na,Na,None,None,35,155
360,2010_002789.jpg, sofa, cat,,,,33.20892925,high, cat, bottle,Target Absent,Critical,None,"[('q', 2.4261478388943942)]","['space', 1.1941430309743737]",0.622,tone1,36,156
56,2008_001333.jpg, sofa, chair, bottle, person,,29.05176679,high, sofa,,No Target,Normal,None,Na,Na,None,None,37,157
396,2010_005170.jpg, person, chair, diningtable, sofa,,30.91646677,high, person,,No Target,Normal,None,Na,Na,None,None,38,158
129,2008_004690.jpg, bird,,,,,30.51535276,high, bird, bird,Target Present,Normal,None,"[('p', 1.7730725281580817)]",-999,None,None,39,159
25,2008_000414.jpg, boat,,,,,35.94715,high, boat,,No Target,Normal,None,Na,Na,None,None,40,160
91,2008_002835.jpg, person, horse,,,,31.84266058,high, horse,,No Target,Normal,None,Na,Na,None,None,41,161
68,2008_001929.jpg, person,,,,,38.90283281,high, person,,No Target,Normal,None,Na,Na,None,None,42,162
175,2008_007057.jpg, dog,,,,,40.77312128,high, dog,,No Target,Normal,None,Na,Na,None,None,43,163
283,2009_003351.jpg, pottedplant, person, chair, motorbike, boat,31.5804899,high, boat,,No Target,Normal,None,Na,Na,None,None,44,164
254,2009_001976.jpg, chair,,,,,33.76608333,high, chair,,No Target,Normal,None,Na,Na,None,None,45,165
452,2011_001800.jpg, person, aeroplane,,,,30.95304329,high, aeroplane,,No Target,Normal,None,Na,Na,None,None,46,166
363,2010_003014.jpg, sofa, person,,,,31.45021986,high, person,,No Target,Normal,None,Na,Na,None,None,47,167
369,2010_003297.jpg, person, horse,,,,31.96963432,high, horse,,No Target,Normal,None,Na,Na,None,None,48,168
469,2011_002555.jpg, person, horse,,,,29.26546246,high, horse,,No Target,Normal,None,Na,Na,None,None,49,169
295,2009_004179.jpg, person, chair, dog, car,,31.41085347,high, dog,,No Target,Normal,None,Na,Na,None,None,50,170
463,2011_002193.jpg, person, aeroplane,,,,30.18288572,high, aeroplane,,No Target,Normal,None,Na,Na,None,None,51,171
12,2008_000191.jpg, person, bicycle, boat,,,34.31905161,high, boat,,No Target,Normal,None,Na,Na,None,None,52,172
398,2010_005239.jpg, tvmonitor, cat,,,,33.31955031,high, cat,,No Target,Normal,None,Na,Na,None,None,53,173
188,2008_007629.jpg, aeroplane,,,,,31.1423085,high, aeroplane,,No Target,Normal,None,Na,Na,None,None,54,174
455,2011_001862.jpg, pottedplant, sofa, chair, dog, diningtable,32.89256213,high, chair,,No Target,Critical,"[('space', 0.9052406410410185)]",Na,Na,0.237,tone1,55,175
332,2010_001099.jpg, tvmonitor, dog,,,,31.58802401,high, dog,,No Target,Normal,None,Na,Na,None,None,56,176
259,2009_002182.jpg, person, horse,,,,29.8661241,high, horse,,No Target,Normal,None,Na,Na,None,None,57,177
472,2011_002641.jpg, person, chair, bottle,,,33.38111538,high, bottle,,No Target,Critical,None,Na,Na,0.522,tone3,58,178
49,2008_001155.jpg, chair, diningtable,,,,33.69412787,high, chair, bird,Target Absent,Normal,None,"[('q', 2.417346818918304)]",-999,None,None,59,179
325,2010_000628.jpg, car,,,,,19.89235212,low, car,,No Target,Normal,None,Na,Na,None,None,0,180
370,2010_003329.jpg, bottle,,,,,20.96577532,low, bottle,,No Target,Normal,None,Na,Na,None,None,1,181
358,2010_002661.jpg, pottedplant,,,,,15.88057161,low, pottedplant,,No Target,Critical,None,Na,Na,0.132,tone4,2,182
351,2010_002283.jpg, horse,,,,,18.05782528,low, horse, bird,Target Absent,Normal,None,"[('q', 2.1512888775832835)]",-999,None,None,3,183
22,2008_000339.jpg, bird,,,,,14.38243182,low, bird, sofa,Target Absent,Critical,None,"[('q', 1.9123390471067978)]",-999,0.958,tone4,4,184
144,2008_005467.jpg, dog,,,,,20.01703476,low, dog,,No Target,Normal,None,Na,Na,None,None,5,185
477,2011_003023.jpg, sheep, person,,,,14.02332689,low, person,,No Target,Normal,None,Na,Na,None,None,6,186
367,2010_003280.jpg, person, horse,,,,20.30683532,low, horse,,No Target,Normal,None,Na,Na,None,None,7,187
109,2008_004036.jpg, person, motorbike,,,,19.44615669,low, person,,No Target,Normal,None,Na,Na,None,None,8,188
133,2008_004907.jpg, boat,,,,,16.58037434,low, boat, boat,Target Present,Normal,None,"[('p', 2.1551323032545042)]",-999,None,None,9,189
21,2008_000287.jpg, pottedplant,,,,,19.54965645,low, pottedplant,,No Target,Normal,None,Na,Na,None,None,10,190
235,2009_001279.jpg, cat,,,,,17.88110457,low, cat,,No Target,Critical,None,Na,Na,0.355,tone1,11,191
193,2008_007923.jpg, person, bottle,,,,19.05734477,low, person,,No Target,Normal,None,Na,Na,None,None,12,192
166,2008_006546.jpg, dog,,,,,15.67179749,low, dog,,No Target,Normal,None,Na,Na,None,None,13,193
89,2008_002704.jpg, car,,,,,19.43993938,low, car,,No Target,Normal,None,Na,Na,None,None,14,194
142,2008_005444.jpg, person, sofa,,,,14.90489029,low, sofa,,No Target,Normal,None,Na,Na,None,None,15,195
458,2011_001959.jpg, bird,,,,,9.576867709,low, bird,,No Target,Normal,None,Na,Na,None,None,16,196
270,2009_002711.jpg, car, person,,,,17.85630566,low, car,,No Target,Normal,None,Na,Na,None,None,17,197
139,2008_005309.jpg, cat,,,,,20.22587911,low, cat,,No Target,Normal,None,Na,Na,None,None,18,198
29,2008_000491.jpg, pottedplant,,,,,15.06948341,low, pottedplant,,No Target,Normal,None,Na,Na,None,None,19,199
454,2011_001834.jpg, chair,,,,,13.72743874,low, chair,,No Target,Normal,None,Na,Na,None,None,20,200
17,2008_000236.jpg, person,,,,,19.27672634,low, person,,No Target,Normal,None,Na,Na,None,None,21,201
375,2010_003592.jpg, aeroplane,,,,,11.64066234,low, aeroplane,,No Target,Normal,None,Na,Na,None,None,22,202
191,2008_007816.jpg, horse,,,,,21.01947615,low, horse,,No Target,Normal,None,Na,Na,None,None,23,203
313,2009_004984.jpg, bicycle, bottle,,,,18.89379801,low, bottle,,No Target,Normal,None,Na,Na,None,None,24,204
214,2009_000189.jpg, sofa, dog,,,,20.93405968,low, sofa,,No Target,Normal,None,Na,Na,None,None,25,205
327,2010_000805.jpg, dog, bottle,,,,18.86070334,low, bottle,,No Target,Normal,None,Na,Na,None,None,26,206
392,2010_004791.jpg, aeroplane,,,,,20.12076124,low, aeroplane,,No Target,Normal,None,Na,Na,None,None,27,207
461,2011_002050.jpg, boat,,,,,17.33155808,low, boat,,No Target,Normal,None,Na,Na,None,None,28,208
323,2010_000447.jpg, chair,,,,,18.00822423,low, chair,,No Target,Normal,None,Na,Na,None,None,29,209
23,2008_000398.jpg, person, bottle,,,,20.42379547,low, bottle, sofa,Target Absent,Normal,None,"[('p', 3.3511718157533323)]",-999,None,None,30,210
361,2010_002956.jpg, bottle,,,,,16.59887486,low, bottle,,No Target,Normal,None,Na,Na,None,None,31,211
381,2010_003911.jpg, boat,,,,,20.08430254,low, boat,,No Target,Critical,"[('space', 0.41274018202966545)]",Na,Na,0.672,tone1,32,212
14,2008_000193.jpg, car, person,,,,16.25909358,low, car,,No Target,Normal,None,Na,Na,None,None,33,213
292,2009_004083.jpg, cat,,,,,15.02423943,low, cat,,No Target,Normal,None,Na,Na,None,None,34,214
320,2010_000132.jpg, pottedplant,,,,,19.90627663,low, pottedplant,,No Target,Critical,"[('space', 0.8090110242264927)]",Na,Na,0.22,tone3,35,215
163,2008_006452.jpg, dog,,,,,16.13745812,low, dog,,No Target,Normal,None,Na,Na,None,None,36,216
314,2009_005036.jpg, car, aeroplane,,,,16.811685,low, aeroplane,,No Target,Normal,None,Na,Na,None,None,37,217
9,2008_000141.jpg, person, horse,,,,19.2853679,low, horse,,No Target,Critical,None,Na,Na,0.233,tone4,38,218
189,2008_007704.jpg, chair, diningtable, bottle,,,20.03811988,low, bottle,,No Target,Normal,None,Na,Na,None,None,39,219
326,2010_000750.jpg, pottedplant,,,,,11.90221234,low, pottedplant,,No Target,Normal,None,Na,Na,None,None,40,220
386,2010_004231.jpg, chair, diningtable,,,,15.83070894,low, chair,,No Target,Normal,None,Na,Na,None,None,41,221
261,2009_002374.jpg, chair,,,,,20.13855957,low, chair,,No Target,Normal,None,Na,Na,None,None,42,222
