,Cat.1,Cat.2,Cat.3,Cat.4,Cat.5,TS,Load,exemplar,question,present_absent,trial_type,tone_Hz,tone_onset
2008_000972.jpg, person, sofa,,,,20.7078777754,low, sofa,NA,No Target,Critical,tone2,707
2008_000982.jpg, car, person, bus,,,35.0694191822,high, car,NA,No Target,Normal,No tone,-999
2008_000984.jpg, person,,,,,30.7488856549,high, person,NA,No Target,Normal,No tone,-999
2008_001040.jpg, boat,,,,,20.2100437036,low, boat,NA,No Target,Normal,No tone,-999
2008_001098.jpg, person,,,,,15.903696109,low, person,NA,No Target,Normal,No tone,-999
2008_001185.jpg, bird,,,,,18.5230242662,low, bird,NA,No Target,Normal,No tone,-999
2008_001205.jpg, person,,,,,19.6758269441,low, person,NA,No Target,Normal,No tone,-999
2008_001210.jpg, cat,,,,,29.2469761744,high, cat,NA,No Target,Normal,No tone,-999
2008_001221.jpg, person,,,,,18.1390531514,low, person,NA,No Target,Normal,No tone,-999
2008_001238.jpg, sofa, dog,,,,21.0012272781,low, sofa,NA,No Target,Normal,No tone,-999
2008_001278.jpg, person, horse,,,,32.4805318568,high, horse,NA,No Target,Normal,No tone,-999
2008_001283.jpg, pottedplant, person, bird,,,32.3259350459,high, bird,NA,No Target,Normal,No tone,-999
2008_001333.jpg, sofa, chair, bottle, person,,29.051766795,high, sofa,NA,No Target,Normal,No tone,-999
2008_001367.jpg, person,,,,,20.358449022,low, person,NA,No Target,Normal,No tone,-999
2008_001451.jpg, pottedplant, person, chair, diningtable,,31.4876403732,high, pottedplant,NA,No Target,Normal,No tone,-999
2008_001479.jpg, dog,,,,,13.4112210534,low, dog,NA,No Target,Normal,No tone,-999
2008_001495.jpg, bird,,,,,21.229485108,low, bird,NA,No Target,Normal,No tone,-999
2008_001542.jpg, horse,,,,,18.4142557544,low, horse,NA,No Target,Normal,No tone,-999
2008_001546.jpg, aeroplane,,,,,16.8766677937,low, aeroplane, aeroplane,Target Present,Normal,No tone,-999
2008_001576.jpg, tvmonitor, chair, person,,,31.7947294031,high, person,NA,No Target,Normal,No tone,-999
2008_001617.jpg, person, chair,,,,20.2241395445,low, person,NA,No Target,Normal,No tone,-999
2008_001673.jpg, person, chair, bird,,,29.630121227,high, bird,NA,No Target,Normal,No tone,-999
2008_001694.jpg, pottedplant, sofa, chair,,,18.5118878018,low, pottedplant, pottedplant,Target Present,Normal,No tone,-999
2008_001708.jpg, dog, cat,,,,21.2476294604,low, dog,NA,No Target,Critical,tone1,344
2008_001836.jpg, cat,,,,,20.4638836895,low, cat,NA,No Target,Normal,No tone,-999
2008_001862.jpg, pottedplant, person, chair, dog, bottle,31.0580495701,high, dog,NA,No Target,Normal,No tone,-999
2008_001965.jpg, person, dog,,,,28.8389563542,high, dog, dog,Target Present,Normal,No tone,-999
2008_002037.jpg, person, dog,,,,30.2020358311,high, dog,NA,No Target,Critical,tone2,208
2008_002062.jpg, car,,,,,18.7874507214,low, car,NA,No Target,Normal,No tone,-999
2008_002084.jpg, pottedplant, person, dog,,,30.0073743319,high, dog,NA,No Target,Normal,No tone,-999
2008_002116.jpg, person, dog,,,,20.1660203933,low, person,NA,No Target,Normal,No tone,-999
2008_002119.jpg, pottedplant, sofa, chair, tvmonitor,,29.4645800956,high, pottedplant,NA,No Target,Normal,No tone,-999
2008_002145.jpg, person,,,,,18.8795575328,low, person,NA,No Target,Normal,No tone,-999
2008_002195.jpg, person, aeroplane,,,,30.4803617566,high, aeroplane,NA,No Target,Normal,No tone,-999
2008_002350.jpg, bird,,,,,29.8149203136,high, bird,NA,No Target,Normal,No tone,-999
2008_002372.jpg, bottle,,,,,14.5933368773,low, bottle, bottle,Target Present,Normal,No tone,-999
2008_002379.jpg, pottedplant, chair, diningtable,,,17.13857605,low, pottedplant,NA,No Target,Normal,No tone,-999
2008_002504.jpg, boat,,,,,20.4706639524,low, boat,NA,No Target,Normal,No tone,-999
2008_002672.jpg, car,,,,,30.3940484458,high, car,NA,No Target,Normal,No tone,-999
2008_002700.jpg, person,,,,,21.0513732912,low, person, person,Target Present,Normal,No tone,-999
2008_002704.jpg, car,,,,,19.4399393846,low, car,NA,No Target,Normal,No tone,-999
2008_002709.jpg, boat, cow,,,,29.6594071243,high, boat,NA,No Target,Normal,No tone,-999
2008_002725.jpg, person,,,,,35.696632302,high, person,NA,No Target,Normal,No tone,-999
2008_002736.jpg, person, diningtable, bottle,,,36.4140422377,high, bottle, bottle,Target Present,Normal,No tone,-999
2008_002758.jpg, person, chair,,,,33.312072728,high, chair,NA,No Target,Normal,No tone,-999
2008_002773.jpg, aeroplane, boat,,,,29.2873494446,high, aeroplane,NA,No Target,Normal,No tone,-999
2008_002774.jpg, person, motorbike,,,,32.1233073623,high, person,NA,No Target,Normal,No tone,-999
2008_002789.jpg, person, chair, diningtable, bottle,,33.8235501143,high, chair,NA,No Target,Critical,tone1,849
2008_002864.jpg, person, diningtable, bottle,,,36.4850555133,high, bottle,NA,No Target,Normal,No tone,-999
2008_002887.jpg, person, boat,,,,34.287988653,high, boat, boat,Target Present,Normal,No tone,-999
2008_002897.jpg, pottedplant, person,,,,36.5957709735,high, pottedplant,NA,No Target,Normal,No tone,-999
2008_002899.jpg, cat,,,,,14.1274696186,low, cat,NA,No Target,Normal,No tone,-999
2008_002904.jpg, dog,,,,,17.1900446482,low, dog,NA,No Target,Normal,No tone,-999
2008_003045.jpg, cat,,,,,16.4170391928,low, cat,NA,No Target,Normal,No tone,-999
2008_003081.jpg, person, boat,,,,29.0064574566,high, person,NA,No Target,Normal,No tone,-999
2008_003170.jpg, bird,,,,,17.1675580603,low, bird,NA,No Target,Normal,No tone,-999
2008_003180.jpg, dog,,,,,31.5378571257,high, dog, horse,Target Absent,Normal,No tone,-999
2008_003193.jpg, person,,,,,39.7941102261,high, person,NA,No Target,Normal,No tone,-999
2008_003283.jpg, person, horse,,,,30.0880459272,high, horse, dog,Target Absent,Normal,No tone,-999
2008_003369.jpg, aeroplane,,,,,15.7319627222,low, aeroplane,NA,No Target,Normal,No tone,-999
2008_003378.jpg, car, chair, bicycle,,,29.7308101348,high, car,NA,No Target,Normal,No tone,-999
2008_003449.jpg, boat,,,,,34.708650155,high, boat,NA,No Target,Normal,No tone,-999
2008_003461.jpg, person, horse,,,,30.92721034,high, horse,NA,No Target,Normal,No tone,-999
2008_003575.jpg, person, aeroplane,,,,31.070624342,high, aeroplane,NA,No Target,Critical,tone2,441
2008_003587.jpg, person, dog,,,,19.7933761126,low, person,NA,No Target,Normal,No tone,-999
2008_003635.jpg, person, diningtable, bottle,,,36.1560129636,high, bottle, car,Target Absent,Normal,No tone,-999
2008_003659.jpg, cat,,,,,15.6336667387,low, cat,NA,No Target,Normal,No tone,-999
2008_003701.jpg, boat,,,,,29.9571992215,high, boat,NA,No Target,Normal,No tone,-999
2008_003709.jpg, sofa,,,,,15.7792493869,low, sofa,NA,No Target,Normal,No tone,-999
2008_003755.jpg, car, dog, person,,,29.7635521346,high, person,NA,No Target,Normal,No tone,-999
2008_003767.jpg, pottedplant,,,,,21.2558875475,low, pottedplant,NA,No Target,Normal,No tone,-999
2008_003805.jpg, person, horse,,,,29.8753620717,high, horse,NA,No Target,Critical,tone1,677
2008_003844.jpg, car, motorbike, person,,,31.4087219554,high, car,NA,No Target,Normal,No tone,-999
2008_003876.jpg, aeroplane,,,,,13.4403667656,low, aeroplane, boat,Target Absent,Normal,No tone,-999
2008_004036.jpg, person, motorbike,,,,19.4461566876,low, person,NA,No Target,Normal,No tone,-999
2008_004042.jpg, bird,,,,,31.3970278242,high, bird,NA,No Target,Normal,No tone,-999
2008_004171.jpg, pottedplant,,,,,20.5841625672,low, pottedplant,NA,No Target,Normal,No tone,-999
2008_004188.jpg, person, dog,,,,37.0063872622,high, dog,NA,No Target,Normal,No tone,-999
2008_004269.jpg, sofa, person,,,,20.9832980594,low, sofa,NA,No Target,Normal,No tone,-999
2008_004270.jpg, person, sofa,,,,19.2440358751,low, sofa,NA,No Target,Normal,No tone,-999
2008_004412.jpg, chair,,,,,20.4132537158,low, chair,NA,No Target,Critical,tone2,660
2008_004459.jpg, person, sofa,,,,31.1244371666,high, sofa,NA,No Target,Normal,No tone,-999
2008_004482.jpg, person, bicycle, car,,,30.8916722198,high, person, sofa,Target Absent,Normal,No tone,-999
2008_004487.jpg, chair, bottle,,,,35.9250648934,high, chair,NA,No Target,Normal,No tone,-999
2008_004607.jpg, bottle,,,,,20.465741195,low, bottle,NA,No Target,Normal,No tone,-999
2008_004614.jpg, car, bus, person,,,31.3051357692,high, car,NA,No Target,Normal,No tone,-999
2008_004624.jpg, horse,,,,,13.8796340974,low, horse,NA,No Target,Normal,No tone,-999
2008_004633.jpg, bird,,,,,30.0688032828,high, bird, bird,Target Present,Normal,No tone,-999
2008_004646.jpg, person, aeroplane,,,,32.0149735503,high, aeroplane,NA,No Target,Normal,No tone,-999
2008_004661.jpg, pottedplant, sofa, chair, diningtable, tvmonitor,29.2474832664,high, pottedplant,NA,No Target,Normal,No tone,-999
2008_004670.jpg, sofa, chair,,,,32.35147421,high, chair,NA,No Target,Normal,No tone,-999
2008_004690.jpg, bird,,,,,30.5153527617,high, bird,NA,No Target,Normal,No tone,-999
2008_004814.jpg, person, bottle,,,,19.8690992474,low, bottle,NA,No Target,Normal,No tone,-999
2008_004858.jpg, car, bicycle, person,,,30.4769290976,high, car,NA,No Target,Critical,tone1,252
2008_004893.jpg, bird,,,,,8.06283649278,low, bird,NA,No Target,Normal,No tone,-999
2008_004907.jpg, boat,,,,,16.5803743378,low, boat,NA,No Target,Normal,No tone,-999
2008_004991.jpg, person, bottle,,,,28.9165153697,high, bottle,NA,No Target,Normal,No tone,-999
2008_005046.jpg, person, dog,,,,20.7128987687,low, dog,NA,No Target,Normal,No tone,-999
2008_005090.jpg, tvmonitor, sofa, bottle, person,,29.6080264916,high, bottle, bottle,Target Present,Normal,No tone,-999
2008_005123.jpg, dog,,,,,19.5706622561,low, dog, aeroplane,Target Absent,Normal,No tone,-999
2008_005214.jpg, pottedplant,,,,,21.2176699016,low, pottedplant,NA,No Target,Normal,No tone,-999
2008_005345.jpg, pottedplant,,,,,16.5204763708,low, pottedplant,NA,No Target,Normal,No tone,-999
2008_005347.jpg, chair, bottle,,,,30.4248738873,high, chair,NA,No Target,Normal,No tone,-999
2008_005472.jpg, person, car,,,,28.8397417486,high, person,NA,No Target,Normal,No tone,-999
2008_005490.jpg, person, sofa,,,,13.4141262808,low, sofa,NA,No Target,Normal,No tone,-999
2008_005519.jpg, pottedplant, person, chair, diningtable,,31.5206876139,high, pottedplant,NA,No Target,Normal,No tone,-999
2008_005526.jpg, person, boat,,,,31.2610376392,high, boat,NA,No Target,Normal,No tone,-999
2008_005600.jpg, person, cat,,,,30.2265163794,high, cat,NA,No Target,Normal,No tone,-999
2008_005673.jpg, cat,,,,,18.6869051047,low, cat,NA,No Target,Normal,No tone,-999
2008_005702.jpg, horse,,,,,29.2812375074,high, horse,NA,No Target,Normal,No tone,-999
2008_005720.jpg, bus, boat, car,,,34.4039146201,high, boat,NA,No Target,Critical,tone1,453
2008_005728.jpg, dog,,,,,19.8900886516,low, dog,NA,No Target,Normal,No tone,-999
2008_005735.jpg, cat,,,,,13.6859936467,low, cat, cat,Target Present,Normal,No tone,-999
2008_005750.jpg, aeroplane,,,,,29.2018694612,high, aeroplane,NA,No Target,Normal,No tone,-999
2008_005818.jpg, horse,,,,,29.0841590419,high, horse,NA,No Target,Normal,No tone,-999
2008_005845.jpg, dog,,,,,28.9618169808,high, dog,NA,No Target,Normal,No tone,-999
2008_005869.jpg, person, bottle,,,,17.2428434908,low, bottle,NA,No Target,Normal,No tone,-999
2008_005878.jpg, bus, person, car,,,31.1679369698,high, car,NA,No Target,Normal,No tone,-999
2008_005903.jpg, bird,,,,,18.0156688875,low, bird, car,Target Absent,Normal,No tone,-999
2008_005978.jpg, person, bicycle,,,,18.2377682365,low, person,NA,No Target,Normal,No tone,-999
2008_006062.jpg, tvmonitor, bottle,,,,29.9937814283,high, bottle,NA,No Target,Normal,No tone,-999
2008_006072.jpg, bottle,,,,,18.2599009408,low, bottle, bottle,Target Present,Normal,No tone,-999
2008_006121.jpg, person, boat,,,,30.3841872714,high, boat,NA,No Target,Normal,No tone,-999
2008_006216.jpg, person, aeroplane,,,,31.8858778004,high, aeroplane,NA,No Target,Normal,No tone,-999
2008_006452.jpg, dog,,,,,16.1374581172,low, dog,NA,No Target,Normal,No tone,-999
2008_006461.jpg, bird,,,,,31.18243026,high, bird,NA,No Target,Normal,No tone,-999
2008_006470.jpg, chair,,,,,21.0059170057,low, chair,NA,No Target,Normal,No tone,-999
2008_006481.jpg, bird, boat,,,,29.314233598,high, bird,NA,No Target,Normal,No tone,-999
2008_006564.jpg, aeroplane,,,,,13.513291905,low, aeroplane,NA,No Target,Normal,No tone,-999
2008_006663.jpg, person, bottle, diningtable,,,29.775484131,high, bottle,NA,No Target,Normal,No tone,-999
2008_006703.jpg, aeroplane,,,,,20.8854366041,low, aeroplane, sofa,Target Absent,Normal,No tone,-999
2008_006784.jpg, sofa,,,,,17.0559093734,low, sofa, horse,Target Absent,Normal,No tone,-999
2008_006837.jpg, chair, dog, diningtable,,,18.2062639009,low, chair,NA,No Target,Critical,tone1,314
2008_006841.jpg, sofa, chair, person,,,30.0353391318,high, sofa,NA,No Target,Normal,No tone,-999
2008_006844.jpg, person, dog, car,,,33.0948850029,high, dog,NA,No Target,Normal,No tone,-999
2008_006863.jpg, person, chair, cat,,,30.8788481424,high, cat,NA,No Target,Normal,No tone,-999
2008_006870.jpg, person, dog,,,,30.6573416004,high, dog,NA,No Target,Normal,No tone,-999
2008_006912.jpg, person, horse,,,,28.9362392217,high, horse,NA,No Target,Normal,No tone,-999
2008_006954.jpg, bird,,,,,11.9577001946,low, bird,NA,No Target,Normal,No tone,-999
2008_006998.jpg, person,,,,,18.7165290052,low, person,NA,No Target,Normal,No tone,-999
2008_007043.jpg, sofa, person,,,,33.2795823558,high, sofa, chair,Target Absent,Normal,No tone,-999
2008_007048.jpg, chair, diningtable,,,,20.017308323,low, chair,NA,No Target,Normal,No tone,-999
2008_007057.jpg, dog,,,,,40.7731212751,high, dog,NA,No Target,Normal,No tone,-999
2008_007091.jpg, sofa, person,,,,31.0518683449,high, sofa, horse,Target Absent,Normal,No tone,-999
2008_007096.jpg, aeroplane,,,,,20.1580444106,low, aeroplane,NA,No Target,Normal,No tone,-999
2008_007108.jpg, pottedplant, dog,,,,29.8518343524,high, dog,NA,No Target,Normal,No tone,-999
2008_007143.jpg, boat,,,,,33.4946134203,high, boat,NA,No Target,Critical,tone2,724
2008_007208.jpg, dog,,,,,19.803149147,low, dog,NA,No Target,Normal,No tone,-999
2008_007250.jpg, bird,,,,,31.8921255067,high, bird,NA,No Target,Normal,No tone,-999
2008_007274.jpg, dog,,,,,16.6933725717,low, dog,NA,No Target,Normal,No tone,-999
2008_007378.jpg, chair, dog, diningtable,,,29.6114403428,high, dog,NA,No Target,Normal,No tone,-999
2008_007388.jpg, pottedplant, chair, diningtable,,,28.7663578445,high, chair,NA,No Target,Normal,No tone,-999
2008_007423.jpg, bird,,,,,33.6473980056,high, bird,NA,No Target,Normal,No tone,-999
2008_007527.jpg, tvmonitor, chair,,,,32.3848141416,high, chair,NA,No Target,Normal,No tone,-999
2008_007629.jpg, aeroplane,,,,,31.1423085011,high, aeroplane,NA,No Target,Normal,No tone,-999
2008_007664.jpg, diningtable, person, chair, dog, bottle,36.0401214283,high, bottle,NA,No Target,Normal,No tone,-999
2008_007704.jpg, chair, diningtable, bottle,,,20.0381198786,low, bottle,NA,No Target,Normal,No tone,-999
2008_007745.jpg, person, dog,,,,32.9593902214,high, dog,NA,No Target,Normal,No tone,-999
2008_007842.jpg, cat,,,,,20.6060855378,low, cat,NA,No Target,Normal,No tone,-999
2008_007913.jpg, person, cat,,,,32.265109083,high, cat,NA,No Target,Critical,tone2,848
2008_007970.jpg, person, aeroplane,,,,30.073041629,high, aeroplane,NA,No Target,Normal,No tone,-999
2008_008083.jpg, person, boat,,,,18.6424504286,low, person,NA,No Target,Normal,No tone,-999
2008_008097.jpg, car, bicycle, motorbike, bus, person,30.2634494657,high, car,NA,No Target,Normal,No tone,-999
2008_008210.jpg, person, bicycle, car,,,31.5779063964,high, car,NA,No Target,Normal,No tone,-999
2008_008229.jpg, person, horse,,,,33.7029219719,high, horse,NA,No Target,Normal,No tone,-999
2008_008263.jpg, aeroplane,,,,,17.3506654694,low, aeroplane,NA,No Target,Critical,tone1,355
2008_008331.jpg, pottedplant,,,,,19.3213088734,low, pottedplant,NA,No Target,Normal,No tone,-999
2008_008359.jpg, aeroplane,,,,,14.1064450151,low, aeroplane,NA,No Target,Normal,No tone,-999
2008_008395.jpg, person, horse,,,,19.9123010153,low, horse,NA,No Target,Normal,No tone,-999
2008_008470.jpg, sofa, chair, diningtable,,,30.3466941995,high, chair,NA,No Target,Normal,No tone,-999
2008_008500.jpg, person, horse,,,,33.9683529801,high, horse,NA,No Target,Normal,No tone,-999
2008_008506.jpg, bird,,,,,18.8378639563,low, bird,NA,No Target,Normal,No tone,-999
2008_008533.jpg, horse,,,,,19.2079563963,low, horse, person,Target Absent,Normal,No tone,-999
2008_008607.jpg, aeroplane,,,,,32.0206899074,high, aeroplane, aeroplane,Target Present,Normal,No tone,-999
2008_008628.jpg, sofa,,,,,30.9803111453,high, sofa,NA,No Target,Normal,No tone,-999
2008_008681.jpg, car, train,,,,30.2088428522,high, car,NA,No Target,Normal,No tone,-999
2009_000021.jpg, car, person,,,,29.0083590163,high, car,NA,No Target,Normal,No tone,-999
2009_000058.jpg, person, bottle, diningtable,,,34.0729175503,high, bottle,NA,No Target,Normal,No tone,-999
2009_000059.jpg, person, chair,,,,14.4209422776,low, chair,NA,No Target,Normal,No tone,-999
2009_000067.jpg, person,,,,,29.6392963112,high, person,NA,No Target,Normal,No tone,-999
2009_000087.jpg, sofa,,,,,19.8923896955,low, sofa,NA,No Target,Normal,No tone,-999
2009_000120.jpg, boat,,,,,30.8060891344,high, boat,NA,No Target,Normal,No tone,-999
2009_000169.jpg, person, horse, car,,,20.9345998577,low, horse, sofa,Target Absent,Critical,tone2,147
2009_000189.jpg, sofa, dog,,,,20.9340596821,low, sofa,NA,No Target,Normal,No tone,-999
2009_000198.jpg, pottedplant, chair,,,,34.9666280658,high, pottedplant,NA,No Target,Normal,No tone,-999
2009_000260.jpg, aeroplane,,,,,20.0884358457,low, aeroplane,NA,No Target,Normal,No tone,-999
2009_000466.jpg, cat,,,,,30.9540107157,high, cat,NA,No Target,Normal,No tone,-999
2009_000488.jpg, pottedplant, tvmonitor, cat,,,31.6704471984,high, cat,NA,No Target,Normal,No tone,-999
2009_000523.jpg, car,,,,,21.1810107362,low, car,NA,No Target,Normal,No tone,-999
2009_000539.jpg, person, dog,,,,29.3544584936,high, dog,NA,No Target,Normal,No tone,-999
2009_000565.jpg, person, horse,,,,30.5304897751,high, horse,NA,No Target,Normal,No tone,-999
2009_000619.jpg, bird,,,,,19.3050304781,low, bird,NA,No Target,Normal,No tone,-999
2009_000629.jpg, tvmonitor, chair,,,,34.7763437145,high, chair,NA,No Target,Normal,No tone,-999
2009_000716.jpg, cat,,,,,20.5373535376,low, cat, cat,Target Present,Normal,No tone,-999
2009_000760.jpg, pottedplant, chair, diningtable,,,34.1778342477,high, pottedplant, bottle,Target Absent,Normal,No tone,-999
2009_000919.jpg, boat,,,,,19.2535195999,low, boat,NA,No Target,Normal,No tone,-999
2009_000995.jpg, sofa, person,,,,31.4636772311,high, sofa, boat,Target Absent,Normal,No tone,-999
2009_001021.jpg, pottedplant, sofa, chair,,,31.427287996,high, sofa,NA,No Target,Critical,tone2,151
2009_001137.jpg, pottedplant, person,,,,13.7867334636,low, pottedplant,NA,No Target,Normal,No tone,-999
2009_001305.jpg, cat,,,,,18.6847182117,low, cat,NA,No Target,Normal,No tone,-999
2009_001321.jpg, car, aeroplane,,,,37.9375516575,high, aeroplane,NA,No Target,Normal,No tone,-999
2009_001345.jpg, person, aeroplane,,,,28.9954166074,high, aeroplane,NA,No Target,Normal,No tone,-999
2009_001406.jpg, person, boat,,,,19.9016168923,low, boat,NA,No Target,Normal,No tone,-999
2009_001470.jpg, sofa, dog,,,,19.1888341854,low, sofa,NA,No Target,Normal,No tone,-999
2009_001568.jpg, dog,,,,,17.1025902592,low, dog, boat,Target Absent,Normal,No tone,-999
2009_001723.jpg, boat,,,,,19.2643376751,low, boat,NA,No Target,Normal,No tone,-999
2009_001774.jpg, sofa, dog,,,,16.1425626209,low, dog,NA,No Target,Normal,No tone,-999
2009_001782.jpg, car,,,,,18.8741562324,low, car,NA,No Target,Normal,No tone,-999
2009_001894.jpg, cat,,,,,19.1076965499,low, cat,NA,No Target,Normal,No tone,-999
2009_001975.jpg, pottedplant,,,,,17.4930239916,low, pottedplant,NA,No Target,Normal,No tone,-999
2009_002001.jpg, person, aeroplane,,,,34.5441448216,high, aeroplane, car,Target Absent,Normal,No tone,-999
2009_002137.jpg, bottle,,,,,18.6035189281,low, bottle,NA,No Target,Normal,No tone,-999
2009_002306.jpg, boat,,,,,30.0652663955,high, boat,NA,No Target,Normal,No tone,-999
2009_002325.jpg, sofa, chair,,,,19.8364916302,low, sofa,NA,No Target,Normal,No tone,-999
2009_002374.jpg, chair,,,,,20.1385595655,low, chair,NA,No Target,Normal,No tone,-999
2009_002414.jpg, bird,,,,,29.7427866823,high, bird,NA,No Target,Normal,No tone,-999
2009_002439.jpg, person, cat,,,,20.1398778052,low, person,NA,No Target,Normal,No tone,-999
2009_002521.jpg, bottle,,,,,20.8325215533,low, bottle, cat,Target Absent,Normal,No tone,-999
2009_002571.jpg, pottedplant, sofa, chair, diningtable,,28.9684650575,high, sofa, cat,Target Absent,Normal,No tone,-999
2009_002594.jpg, bottle,,,,,19.0962373595,low, bottle,NA,No Target,Critical,tone2,559
2009_002604.jpg, bird,,,,,13.6444177899,low, bird,NA,No Target,Normal,No tone,-999
2009_002697.jpg, horse,,,,,19.789006071,low, horse,NA,No Target,Normal,No tone,-999
2009_002711.jpg, car, person,,,,17.8563056621,low, car,NA,No Target,Normal,No tone,-999
2009_002749.jpg, bottle,,,,,20.9636430763,low, bottle,NA,No Target,Normal,No tone,-999
2009_002750.jpg, person, horse,,,,30.1417630616,high, horse,NA,No Target,Normal,No tone,-999
2009_002803.jpg, dog,,,,,20.1944336287,low, dog,NA,No Target,Normal,No tone,-999
2009_002817.jpg, pottedplant,,,,,19.54050687,low, pottedplant,NA,No Target,Normal,No tone,-999
2009_002888.jpg, aeroplane,,,,,18.0003618543,low, aeroplane,NA,No Target,Normal,No tone,-999
2009_002897.jpg, boat,,,,,29.6080027553,high, boat,NA,No Target,Normal,No tone,-999
2009_002998.jpg, sofa,,,,,20.9563072862,low, sofa,NA,No Target,Normal,No tone,-999
2009_003084.jpg, boat,,,,,20.0747158726,low, boat,NA,No Target,Normal,No tone,-999
