,Cat.1,Cat.2,Cat.3,Cat.4,Cat.5,TS,Load,present_absent,trial_type
2009_001792.jpg, dog,,,,,17.154465317836053,low,Target Present,Normal
2009_001888.jpg, pottedplant, sofa,,,,28.81434208709868,high,Target Present,Normal
2009_002001.jpg, person, aeroplane,,,,34.544144821561908,high,Target Absent,Normal
2009_002264.jpg, bird,,,,,20.841192455153333,low,Target Absent,Normal
2009_002406.jpg, person, bicycle,,,,32.146440300138138,high,Target Absent,Normal
2009_002570.jpg, car, bus,,,,31.014161803448005,high,Target Present,Normal
2009_002614.jpg, aeroplane,,,,,17.2214287701891,low,Target Absent,Normal
2009_002758.jpg, tvmonitor,,,,,32.326898779067427,high,Target Absent,Normal
2009_002778.jpg, person, boat,,,,35.313120629098918,high,Target Absent,Normal
2009_003338.jpg, person, horse,,,,30.130898028557787,high,Target Absent,Normal
2009_003519.jpg, person, bicycle,,,,32.963978954415886,high,Target Present,Critical
2009_003528.jpg, cat,,,,,17.174202636527884,low,Target Present,Normal
2009_003857.jpg, tvmonitor,,,,,29.289716583119155,high,Target Present,Normal
2009_004076.jpg, sofa, dog,,,,15.553393150912814,low,Target Present,Normal
2009_004124.jpg, diningtable,,,,,31.977321035172626,high,Target Present,Critical
2009_004153.jpg, aeroplane,,,,,16.285586205496266,low,Target Present,Normal
2009_004502.jpg, person, motorbike,,,,19.185159887185517,low,Target Absent,Normal
2009_004669.jpg, person, train,,,,31.028499289858608,high,Target Present,Normal
2009_004780.jpg, boat,,,,,35.019585017762431,high,Target Absent,Normal
2009_004888.jpg, person, boat,,,,16.651242460530831,low,Target Absent,Normal
2009_004977.jpg, train,,,,,33.375114544405648,high,Target Absent,Critical
2009_005040.jpg, bird,,,,,20.206372213671546,low,Target Present,Normal
2009_005279.jpg, bus, car, person,,,39.989976595218714,high,Target Present,Critical
2009_005308.jpg, bottle,,,,,21.116301747151233,low,Target Present,Critical
2010_000109.jpg, cat,,,,,21.194101616126162,low,Target Absent,Normal
2010_000198.jpg, car,,,,,16.882931151862191,low,Target Present,Normal
2010_000547.jpg, sheep,,,,,20.234567428685263,low,Target Present,Critical
2010_000765.jpg, chair,,,,,29.952891115711051,high,Target Absent,Normal
2010_000836.jpg, bird,,,,,14.711202801099512,low,Target Absent,Critical
2010_000918.jpg, bird,,,,,19.886278479178575,low,Target Absent,Critical
2010_000942.jpg, pottedplant, person, chair,,,34.891371822018854,high,Target Absent,Normal
2010_001154.jpg, dog,,,,,17.717234034724168,low,Target Present,Normal
2010_001271.jpg, chair, diningtable,,,,20.735145690609489,low,Target Absent,Normal
2010_001274.jpg, car,,,,,29.349123523599182,high,Target Absent,Critical
2010_001408.jpg, person, train,,,,31.286451956081834,high,Target Absent,Normal
2010_001441.jpg, bird,,,,,12.286550990068443,low,Target Absent,Critical
2010_001520.jpg, bird,,,,,19.735153821988469,low,Target Absent,Normal
2010_001908.jpg, person, dog,,,,18.281400610092522,low,Target Present,Critical
2010_002020.jpg, dog,,,,,21.25193441989569,low,Target Absent,Normal
2010_002393.jpg, boat,,,,,20.131411086471946,low,Target Absent,Normal
2010_002645.jpg, cat,,,,,20.850125265290931,low,Target Present,Normal
2010_002652.jpg, tvmonitor, person,,,,29.314282548594111,high,Target Absent,Normal
2010_002871.jpg, person, chair, bottle,,,29.036264215825629,high,Target Absent,Normal
2010_002900.jpg, cat,,,,,19.373940426857725,low,Target Absent,Normal
2010_003153.jpg, sheep,,,,,11.901128393685589,low,Target Absent,Critical
2010_003248.jpg, person, chair, diningtable,,,29.39636943329948,high,Target Absent,Normal
2010_003329.jpg, bottle,,,,,20.965775321926717,low,Target Absent,Normal
2010_003560.jpg, person, dog,,,,19.064028587308531,low,Target Present,Normal
2010_003857.jpg, tvmonitor,,,,,29.679258310230669,high,Target Absent,Normal
2010_003861.jpg, pottedplant, person, chair, sofa, cat,29.727129597298969,high,Target Present,Normal
2010_004223.jpg, person, chair,,,,16.606806579152448,low,Target Present,Normal
2010_004307.jpg, person, bicycle,,,,21.238698300852345,low,Target Absent,Normal
2010_004339.jpg, dog,,,,,18.02036796686756,low,Target Absent,Normal
2010_004447.jpg, person, bottle, sofa,,,33.561185784733894,high,Target Absent,Normal
2010_004523.jpg, person, tvmonitor,,,,30.145832801276651,high,Target Absent,Normal
2010_004553.jpg, cat,,,,,19.438215810309309,low,Target Absent,Normal
2010_004698.jpg, person,,,,,28.931558906482682,high,Target Absent,Normal
2010_004753.jpg, chair, cat,,,,16.65486588795244,low,Target Present,Critical
2010_004922.jpg, person, horse,,,,20.767842391303123,low,Target Present,Normal
2010_004959.jpg, dog,,,,,14.275102159799699,low,Target Present,Normal
2010_005101.jpg, aeroplane,,,,,13.350033322032774,low,Target Absent,Normal
2010_005270.jpg, person, horse, dog,,,31.37245999871385,high,Target Present,Normal
2010_005531.jpg, bird,,,,,17.790928533851822,low,Target Present,Critical
2010_005640.jpg, dog,,,,,14.966304308982275,low,Target Absent,Normal
2010_005758.jpg, pottedplant, person, chair,,,32.932330644708607,high,Target Present,Critical
2010_005785.jpg, car,,,,,16.197035825449316,low,Target Present,Critical
2010_005921.jpg, chair,,,,,28.810222255541373,high,Target Absent,Normal
2010_005957.jpg, motorbike,,,,,33.21298925201048,high,Target Present,Normal
2011_000469.jpg, cat,,,,,17.872074331338588,low,Target Absent,Normal
2011_000767.jpg, bus, person,,,,36.080845262434281,high,Target Present,Normal
2011_000823.jpg, pottedplant, person, chair, diningtable, bottle,35.254278260497436,high,Target Absent,Normal
2011_001025.jpg, pottedplant, person, bicycle, car,,33.367152749801264,high,Target Absent,Normal
2011_001044.jpg, aeroplane,,,,,17.219936703889118,low,Target Present,Normal
2011_001060.jpg, person, train,,,,29.200169335534397,high,Target Present,Critical
2011_001173.jpg, sofa, cat,,,,20.434103820691529,low,Target Present,Critical
2011_001304.jpg, tvmonitor, chair, sofa,,,37.223815804487245,high,Target Present,Normal
2011_001320.jpg, aeroplane,,,,,17.619907721675858,low,Target Present,Normal
2011_001381.jpg, train,,,,,29.38212901716847,high,Target Absent,Normal
2011_001447.jpg, person, chair,,,,28.758673328529078,high,Target Absent,Normal
2011_001656.jpg, horse,,,,,19.156547420300022,low,Target Present,Normal
2011_001753.jpg, aeroplane,,,,,11.346413138559113,low,Target Absent,Normal
2011_001870.jpg, bus, person,,,,31.556974936597051,high,Target Absent,Normal
2011_001945.jpg, bicycle,,,,,35.423946909145975,high,Target Absent,Normal
2011_001959.jpg, bird,,,,,9.5768677087381189,low,Target Absent,Normal
2011_002093.jpg, person, motorbike,,,,31.64894973403629,high,Target Present,Normal
2011_002330.jpg, bus, person,,,,30.112103449707043,high,Target Present,Critical
2011_002461.jpg, cat,,,,,13.38256725656824,low,Target Absent,Normal
2011_002553.jpg, sheep, person, bottle,,,34.527700629217435,high,Target Present,Normal
2011_002606.jpg, person, diningtable,,,,16.796101888482873,low,Target Absent,Normal
2011_002814.jpg, sofa, bottle, pottedplant, tvmonitor, chair,33.937775623898794,high,Target Absent,Critical
2011_002927.jpg, pottedplant, chair, diningtable, bottle,,29.764980829869298,high,Target Present,Normal
2011_002958.jpg, person, bicycle,,,,31.406602992868155,high,Target Present,Normal
